,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
1107,방학제1동,신내2동,127.0407251,37.6641763,127.0942306,37.6061896,방학제1동신내2동,10532,2058.431,11600
1108,신월7동,교남동,126.8346571,37.5219343,126.9619364,37.5719391,신월7동교남동,16239,2988.054,18300
1109,중계4동,서초3동,127.0780091,37.6587275,127.0119725,37.4836682,중계4동서초3동,28267,5779.333,32100
1110,수서동,중곡제3동,127.104929,37.4889181,127.0801736,37.5688084,수서동중곡제3동,13127,1968.181,13400
1111,성수2가제3동,길동,127.0552645,37.5482223,127.1426791,37.5345598,성수2가제3동길동,8671,1626.034,10700
1112,상봉제2동,송천동,127.0808518,37.592892,127.023838,37.618282,상봉제2동송천동,9186,1679.472,10600
1113,사근동,옥수동,127.0453315,37.5614846,127.0134622,37.5436386,사근동옥수동,4569,1012.85,6400
1114,수유제2동,송산2동,127.0198777,37.6447027,127.0899922,37.7397109,수유제2동송산2동,15554,2389.862,17730
1115,정릉제3동,삼각산동,127.004186,37.6089578,127.0207209,37.6151568,정릉제3동삼각산동,3540,724.811,5100
1116,청룡동,수서동,126.9416518,37.4791304,127.104929,37.4889181,청룡동수서동,18441,2471.315,18710
1117,번제3동,신길제3동,127.04665,37.625874,126.9077425,37.5073003,번제3동신길제3동,26107,3835.422,24600
1118,난곡동,신원동,126.9216507,37.4709634,126.9273519,37.4815883,난곡동신원동,2490,563.281,4400
1119,번제3동,창신제1동,127.04665,37.625874,127.016363,37.570758,번제3동창신제1동,9516,2622.329,15800
1120,독산제1동,성남동,126.897041,37.4702453,127.1383915,37.4350666,독산제1동성남동,31433,3197.054,31870
1121,창신제3동,번제3동,127.0150474,37.5779055,127.04665,37.625874,창신제3동번제3동,7148,1224.872,8400
1122,아현동,도화동,126.95215,37.547125,126.9498798,37.5415123,아현동도화동,1022,292.854,3800
1123,목1동,양재2동,126.8712323,37.5303777,127.041188,37.470601,목1동양재2동,24372,4128.456,25200
1124,명일제1동,정릉제2동,127.1443656,37.5512453,127.0111047,37.6044729,명일제1동정릉제2동,19974,3231.876,24390
1125,하계1동,면목제2동,127.0725852,37.6405374,127.07905,37.589799,하계1동면목제2동,6611,1377.323,8600
1126,면목제7동,면목제3.8동,127.0869854,37.5789945,,,면목제7동면목제3.8동,0,0.0,0
1127,방화제1동,행신3동,126.817026,37.5703659,126.8386242,37.6263897,방화제1동행신3동,9001,1255.642,10770
1128,쌍문제1동,동선동,127.0261145,37.6480275,127.0203666,37.5939824,쌍문제1동동선동,6926,1557.078,9400
1129,중계4동,휘경제2동,127.0780091,37.6587275,127.0685788,37.5902093,중계4동휘경제2동,8897,2032.279,11100
1130,도곡2동,양재2동,127.0464338,37.4837425,127.041188,37.470601,도곡2동양재2동,2798,514.645,4800
1131,조원동,조원동,126.9078649,37.4826299,126.9078649,37.4826299,조원동조원동,0,0.0,0
1132,방배2동,쌍문제1동,126.9855106,37.4797439,127.0261145,37.6480275,방배2동쌍문제1동,29294,2925.736,26400
1133,월계2동,과천동,127.0508,37.6325377,126.9954261,37.4484318,월계2동과천동,29744,5286.643,30110
1134,중계2.3동,서빙고동,127.0687126,37.6421829,126.994663,37.520458,중계2.3동서빙고동,20215,4215.593,21700
